8,0,0,0,6,4,0,5,0
2,0,4,0,1,0,0,3,6
0,0,0,0,0,0,0,0,8
0,0,1,0,0,0,0,0,0
9,5,0,0,0,0,0,2,3
0,0,0,0,0,0,5,0,0
6,0,0,0,0,0,0,0,0
7,8,0,0,4,0,6,0,1
0,1,0,6,3,0,0,0,2
U,7,7,9,1
G,0,8,9,2
U,1,6,7,3
U,1,1,9,4
G,0,1,3,5
U,0,2,7,6
U,0,3,2,7
U,0,6,1,8
U,2,1,6,9
U,2,2,5,10
U,2,0,1,11
U,2,7,4,12
U,2,6,2,13
U,7,3,5,14
U,1,3,8,15
U,1,5,5,16
U,7,5,2,17
U,7,2,3,18
U,8,2,9,19
U,6,2,2,20
U,6,1,4,21
U,8,0,5,22
G,2,4,9,23
G,2,3,3,24
U,2,5,7,25
U,8,5,8,26
U,6,4,7,27
U,4,4,8,28
U,4,2,6,29
U,4,5,1,30
U,4,6,4,31
U,3,8,7,32
U,3,1,2,33
U,3,4,5,34
U,4,3,7,35
U,5,1,7,36
U,5,2,8,37
U,5,4,2,38
B,5,4,0,37
B,5,2,0,36
B,5,1,0,35
B,4,3,0,34
B,3,4,0,33
B,3,1,0,32
B,3,8,0,31
B,4,6,0,30
B,4,5,0,29
B,4,2,0,28
B,4,4,0,27
B,6,4,0,26
B,8,5,0,25
B,2,5,0,24
N,2,3,7,24
U,2,5,3,25
G,3,0,3,26
U,5,0,4,27
U,5,8,7,28
U,3,8,4,29
U,3,3,9,30
U,3,6,8,31
U,3,7,6,32
U,3,5,7,33
U,3,1,2,34
U,3,4,5,35
U,4,4,8,36
U,4,2,6,37
U,4,5,1,38
U,4,3,4,39
B,4,3,0,38
B,4,5,0,37
B,4,2,0,36
B,4,4,0,35
B,3,4,0,34
B,3,1,0,33
B,3,5,0,32
B,3,7,0,31
B,3,6,0,30
B,3,3,0,29
B,3,8,0,28
B,5,8,0,27
B,5,0,0,26
N,3,0,4,26
U,3,8,7,27
U,3,1,2,28
U,5,0,3,29
U,5,1,7,30
U,5,8,4,31
U,4,6,8,32
U,3,6,9,33
U,3,3,3,34
U,3,7,6,35
U,3,5,8,36
U,3,4,5,37
U,4,2,6,38
U,4,4,7,39
U,4,5,1,40
U,4,3,4,41
U,5,2,8,42
U,5,3,9,43
U,5,4,2,44
U,5,5,6,45
U,5,7,1,46
U,6,3,1,47
U,6,4,8,48
U,6,6,3,49
U,6,7,7,50
U,6,5,9,51
U,6,8,5,52
U,8,5,7,53
U,8,6,4,54
U,8,7,8,55
8,3,7,2,6,4,1,5,9
2,9,4,8,1,5,7,3,6
1,6,5,7,9,3,2,4,8
4,2,1,3,5,8,9,6,7
9,5,6,4,7,1,8,2,3
3,7,8,9,2,6,5,1,4
6,4,2,1,8,9,3,7,5
7,8,3,5,4,2,6,9,1
5,1,9,6,3,7,4,8,2
